VREF
13800

SREF
100000000

BUSES
ID	TYPE	V	THETA
26	27	1		1
27	28	1		1
27	29	1		1
29	30	1		1
29	32	1		1
32	33	1		1
33	34	1		1
34	35	1		1
35	36	1		1
36	37	1		1
37	38	1		1
36	39	1		1
39	40	1		1
40	41	1		1
41	42	1		1
39	43	1		1
43	44	1		1
44	45	1		1
43	46	1		1
0	48	1		1
48	49	1		1
49	50	1		1
49	51	1		1
51	52	1		1
52	53	1		1
52	54	1		1
54	55	1		1
55	56	1		1
56	57	1		1
57	58	1		1
58	59	1		1
57	61	1		1
61	62	1		1
62	63	1		1
63	64	1		1
64	65	1		1
62	67	1		1
67	68	1		1
68	69	1		1
69	70	1		1
70	71	1		1
71	72	1		1
56	73	1		1
0	75	1		1
75	76	1		1
76	77	1		1
77	78	1		1
78	80	1		1
80	81	1		1
81	82	1		1
81	83	1		1
83	84	1		1
84	85	1		1
83	86	1		1
86	87	1		1
0	121	1		1
121	122	1		1
122	123	1		1
123	124	1		1
124	125	1		1
125	127	1		1
127	128	1		1
128	129	1		1
128	130	1		1
130	131	1		1
0	133	1		1
133	134	1		1
134	135	1		1
134	136	1		1
136	137	1		1
137	138	1		1
138	139	1		1
139	141	1		1
141	142	1		1
142	143	1		1
143	144	1		1
144	145	1		1
142	146	1		1
146	147	1		1
0	148	1		1
148	149	1		1
149	150	1		1
150	152	1		1
150	153	1		1
153	154	1		1
154	155	1		1
155	156	1		1
156	157	1		1
157	158	1		1
158	159	1		1
157	160	1		1
160	162	1		1
162	163	1		1
163	164	1		1
158	200	1		1
200	201	1		1
159	202	1		1
202	203	1		1
154	204	1		1
204	205	1		1
205	206	1		1
0	207	1		1
207	208	1		1
208	209	1		1
209	210	1		1
209	211	1		1
211	212	1		1
211	214	1		1
214	215	1		1
214	217	1		1
217	218	1		1
218	219	1		1
219	220	1		1
220	221	1		1
221	222	1		1
222	223	1		1
7	86	1		0
10	32	1		0
20	130	1		0
46	223	1		0
33	61	1		0
59	145	1		0
65	147	1		0
73	206	1		0
78	125	1		0
125	219	1		0
131	223	1		0
139	154	1		0
138	217	1		0
138	153	1		0
141	154	1		0
141	220	1		0
145	206	1		0
160	56	1		0
212	122	1		0
215	123	1		0
223	147	1		0

LINES SERIE
SID	TID	R[]	X[]
0	1	0,33205	0,76653
1	2	0,00188	0,00433
2	3	0,22324	0,51535
3	4	0,09943	0,22953
4	5	0,15571	0,35945
5	6	0,16321	0,37677
6	7	0,11444	0,26417
6	9	0,05675	0,05666
9	10	0,52124	0,27418
9	12	0,10877	0,1086
12	13	0,39803	0,20937
12	15	0,91744	0,31469
12	17	0,11823	0,11805
17	18	0,50228	0,26421
17	20	0,05675	0,05666
20	21	0,29379	0,15454
0	24	0,33205	0,76653
24	25	0,00188	0,00433
25	26	0,22324	0,51535
26	27	0,10881	0,25118
27	28	0,71078	0,37388
27	29	0,18197	0,42008
29	30	0,30326	0,15952
29	32	0,02439	0,0563
32	33	0,04502	0,10394
33	34	0,01876	0,04331
34	35	0,11823	0,11805
35	36	0,02365	0,02361
36	37	0,18954	0,0997
37	38	0,39803	0,20937
36	39	0,05675	0,05666
39	40	0,09477	0,04985
40	41	0,41699	0,21934
41	42	0,11372	0,05982
39	43	0,07566	0,07555
43	44	0,3696	0,19442
44	45	0,26536	0,13958
43	46	0,05675	0,05666
0	48	0,33205	0,76653
48	49	0,11819	0,27283
49	50	2,96288	1,01628
49	51	0,00188	0,00433
51	52	0,06941	0,16024
52	53	0,81502	0,42872
52	54	0,06378	0,14724
54	55	0,13132	0,30315
55	56	0,06191	0,14291
56	57	0,11444	0,26417
57	58	0,28374	0,28331
58	59	0,28374	0,28331
57	61	0,04502	0,10394
61	62	0,02626	0,06063
62	63	0,06003	0,13858
63	64	0,03002	0,06929
64	65	0,02064	0,04764
62	67	0,10881	0,25118
67	68	0,25588	0,1346
68	69	0,41699	0,21934
69	70	0,50228	0,26421
70	71	0,3317	0,17448
71	72	0,20849	0,10967
56	73	0,13882	0,32047
0	75	0,0075	0,01732
75	76	0,27014	0,62362
76	77	0,3827	0,88346
77	78	0,33018	0,7622
78	80	0,3283	0,75787
80	81	0,17072	0,39409
81	82	0,55914	0,29412
81	83	0,05816	0,13425
83	84	0,7013	0,3689
84	85	1,02352	0,53839
83	86	0,06754	0,15591
86	87	1,32352	0,45397
0	121	0,01126	0,02598
121	122	0,72976	1,68464
122	123	0,22512	0,51968
123	124	0,20824	0,48071
124	125	0,0469	0,10827
125	127	0,6195	0,61857
127	128	0,34049	0,33998
128	129	0,56862	0,29911
128	130	0,10877	0,1086
130	131	0,56862	0,29911
0	133	0,01126	0,02598
133	134	0,41835	0,96575
134	135	0,10499	0,13641
134	136	0,43898	1,01338
136	137	0,0752	0,02579
137	138	0,07692	0,17756
138	139	0,33205	0,76653
139	141	0,08442	0,19488
141	142	0,1332	0,30748
142	143	0,2932	0,29276
143	144	0,21753	0,21721
144	145	0,26482	0,26443
142	146	0,10318	0,23819
146	147	0,13507	0,31181
0	148	0,00938	0,02165
148	149	0,16884	0,38976
149	150	0,11819	0,27283
150	152	2,28608	0,78414
150	153	0,45587	1,05236
153	154	0,696	1,60669
154	155	0,45774	1,05669
155	156	0,20298	0,26373
156	157	0,21348	0,27737
157	158	0,54967	0,28914
158	159	0,54019	0,28415
157	160	0,0455	0,05911
160	162	0,47385	0,24926
162	163	0,86241	0,45364
163	164	0,56862	0,29911
158	200	0,77711	0,40878
200	201	1,08038	0,5683
159	202	1,09933	0,57827
202	203	0,47385	0,24926
154	204	0,32267	0,74488
204	205	0,14633	0,33779
205	206	0,12382	0,28583
0	207	0,01126	0,02598
207	208	0,6491	1,49842
208	209	0,04502	0,10394
209	210	0,5264	0,18056
209	211	0,02064	0,04764
211	212	0,53071	0,27917
211	214	0,09755	0,2252
214	215	0,11819	0,27283
214	217	0,13882	0,32047
217	218	0,04315	0,09961
218	219	0,09192	0,2122
219	220	0,16134	0,37244
220	221	0,37832	0,37775
221	222	0,39724	0,39664
222	223	0,2932	0,29276
7	86	0,13132	0,30315
10	32	0,26536	0,13958
20	130	0,14187	0,14166
46	223	0,08512	0,08499
33	61	0,04502	0,10394
59	145	0,14187	0,14166
65	147	0,14187	0,14166
73	206	0,0394	0,09094
78	125	0,12944	0,29882
125	219	0,01688	0,03898
131	223	0,3317	0,17448
139	154	0,14187	0,14166
138	217	0,07692	0,17756
138	153	0,07692	0,17756
141	154	0,07692	0,17756
141	220	0,07692	0,17756
145	206	0,26482	0,26443
160	56	0,49696	0,64567
212	122	0,17059	0,08973
215	123	0,05253	0,12126
223	147	0,2932	0,29276
